"","USGSsiteID","Area_ac","calendaryear","siteCV"
"temp","16296500","3.73","2003","2.20134676876279"
"temp","16304200","1.09","2003","3.33947064681517"
"temp","16294100","3.81","2003","1.47941822534639"
"temp","16294900","2.24","2003","1.86600488560316"
"temp","16330000","12.35","2003","4.00115872468803"
"temp","16717000","12.04","2004","2.63995412374039"
"temp","16010000","3.82","2004","1.87997507716757"
"temp","16108000","10.44","2004","1.01291378481913"
"temp","16620000","4.18","2004","1.55075529199538"
"temp","16604500","6.13","2004","1.88535643619527"
"temp","16618000","3.4","2004","2.35076620112509"
"temp","16614000","4.27","2004","1.00562048045514"
"temp","16400000","4.68","2004","1.77772271322892"
"temp","16240500","1.05","2004","1.3145419229156"
"temp","16284200","0.97","2004","0.867761407395202"
"temp","16296500","3.73","2004","1.19265807457386"
"temp","16304200","1.09","2004","2.18128435679186"
"temp","16294100","3.81","2004","0.670938873767617"
"temp","16294900","2.24","2004","1.23211946074172"
"temp","16330000","12.35","2004","2.09841707816481"
"temp","16717000","12.04","2005","2.29313560571636"
"temp","16010000","3.82","2005","2.20239926808138"
"temp","16108000","10.44","2005","1.25409428439902"
"temp","16620000","4.18","2005","1.33183033037515"
"temp","16604500","6.13","2005","1.24420581862488"
"temp","16618000","3.4","2005","1.60741567061692"
"temp","16614000","4.27","2005","0.645213896190667"
"temp","16400000","4.68","2005","1.73564829443557"
"temp","16240500","1.05","2005","0.85270200606425"
"temp","16284200","0.97","2005","0.625385108125148"
"temp","16296500","3.73","2005","1.13444105778282"
"temp","16304200","1.09","2005","2.0972139915255"
"temp","16294100","3.81","2005","0.587391844686832"
"temp","16294900","2.24","2005","0.901557984733723"
"temp","16330000","12.35","2005","2.83204240099962"
"temp","16717000","12.04","2006","2.31064124252865"
"temp","16010000","3.82","2006","1.99949261503909"
"temp","16108000","10.44","2006","1.15676830243625"
"temp","16620000","4.18","2006","1.24201294851016"
"temp","16604500","6.13","2006","1.25303956864508"
"temp","16618000","3.4","2006","1.81972401309736"
"temp","16614000","4.27","2006","0.89738320068549"
"temp","16400000","4.68","2006","2.18432580218484"
"temp","16240500","1.05","2006","0.985821803589797"
"temp","16284200","0.97","2006","0.899324778442627"
"temp","16296500","3.73","2006","1.92476024631782"
"temp","16304200","1.09","2006","3.03640416797911"
"temp","16294100","3.81","2006","1.39779358430839"
"temp","16294900","2.24","2006","1.82499541501116"
"temp","16330000","12.35","2006","2.90920221722547"
"temp","16717000","12.04","2007","2.03077821357925"
"temp","16010000","3.82","2007","2.15262313422641"
"temp","16108000","10.44","2007","0.965267552894419"
"temp","16620000","4.18","2007","1.33521406391841"
"temp","16604500","6.13","2007","1.47916144538243"
"temp","16618000","3.4","2007","1.61346373811001"
"temp","16614000","4.27","2007","0.810092593323114"
"temp","16400000","4.68","2007","1.79415678192983"
"temp","16240500","1.05","2007","0.954224963357309"
"temp","16284200","0.97","2007","1.13244433811252"
"temp","16296500","3.73","2007","1.30870394332106"
"temp","16304200","1.09","2007","3.32411138384673"
"temp","16294100","3.81","2007","0.989606910774482"
"temp","16294900","2.24","2007","1.46504206641055"
"temp","16330000","12.35","2007","2.93934886624283"
"temp","16717000","12.04","2008","4.19305767429254"
"temp","16010000","3.82","2008","3.09111389377705"
"temp","16108000","10.44","2008","1.75372498782195"
"temp","16620000","4.18","2008","1.39365188031755"
"temp","16604500","6.13","2008","1.46309665814284"
"temp","16618000","3.4","2008","1.45135326299799"
"temp","16614000","4.27","2008","0.587697265834629"
"temp","16400000","4.68","2008","1.63787772978732"
"temp","16240500","1.05","2008","1.49147201837993"
"temp","16284200","0.97","2008","0.596962632849676"
"temp","16296500","3.73","2008","1.82216527564031"
"temp","16304200","1.09","2008","4.23654082609637"
"temp","16294100","3.81","2008","1.3941195632068"
"temp","16294900","2.24","2008","1.48170381405765"
"temp","16330000","12.35","2008","4.57306000682849"
"temp","16717000","12.04","2009","1.99297356316911"
"temp","16010000","3.82","2009","1.90147456078161"
"temp","16108000","10.44","2009","1.09751300415177"
"temp","16620000","4.18","2009","1.30612813932287"
"temp","16604500","6.13","2009","1.13657318938717"
"temp","16618000","3.4","2009","1.75725932572267"
"temp","16614000","4.27","2009","0.798999216320992"
"temp","16400000","4.68","2009","1.53882498757566"
"temp","16240500","1.05","2009","1.71290316027904"
"temp","16284200","0.97","2009","0.632025993260124"
"temp","16296500","3.73","2009","1.2755650820141"
"temp","16304200","1.09","2009","3.05499561824817"
"temp","16294100","3.81","2009","0.523714980633349"
"temp","16294900","2.24","2009","1.21854804575628"
"temp","16330000","12.35","2009","5.09049749999355"
"temp","16717000","12.04","2010","2.76493324435806"
"temp","16010000","3.82","2010","2.09997511512539"
"temp","16108000","10.44","2010","1.3378531028516"
"temp","16620000","4.18","2010","1.72384673841605"
"temp","16604500","6.13","2010","1.41476941023386"
"temp","16618000","3.4","2010","1.9420654993716"
"temp","16614000","4.27","2010","0.926730482438087"
"temp","16400000","4.68","2010","1.47867029933662"
"temp","16240500","1.05","2010","1.42146934431801"
"temp","16284200","0.97","2010","0.495326557576624"
"temp","16296500","3.73","2010","1.2310119488826"
"temp","16304200","1.09","2010","2.56594723119773"
"temp","16294100","3.81","2010","0.672969628623917"
"temp","16294900","2.24","2010","0.81462833527152"
"temp","16330000","12.35","2010","3.53497312996489"
"temp","16717000","12.04","2011","2.39982740938862"
"temp","16010000","3.82","2011","1.70808285624303"
"temp","16108000","10.44","2011","1.202797229781"
"temp","16620000","4.18","2011","1.23429769566568"
"temp","16604500","6.13","2011","1.09515191213862"
"temp","16618000","3.4","2011","1.54807760262449"
"temp","16614000","4.27","2011","0.729588880461437"
"temp","16400000","4.68","2011","1.54057721285525"
"temp","16240500","1.05","2011","1.21028723894545"
"temp","16284200","0.97","2011","0.965786002056031"
"temp","16296500","3.73","2011","1.64089590773484"
"temp","16304200","1.09","2011","3.11139068334968"
"temp","16294100","3.81","2011","1.59623419722925"
"temp","16294900","2.24","2011","1.7243470859291"
"temp","16330000","12.35","2011","5.01688920304049"
